mac,hour_of_day,day_of_week,times_seen,lat,lon
00:A0:DE:88:28:FB,2,4,1,,
BC:FF:4D:0F:47:43,2,4,1,,
6C:40:08:B9:A2:38,2,4,1,,
30:05:5C:5C:AC:B7,2,4,1,,
D0:21:F9:93:D2:FD,2,4,1,,
76:C9:5E:AA:7F:11,2,4,1,,
D0:21:F9:93:D1:F7,2,4,1,,
D0:21:F9:93:D1:EB,2,4,1,,
CC:40:D0:C7:43:C8,2,4,1,,
2C:B4:3A:19:B9:BE,2,4,1,,
30:6A:85:9C:29:10,2,4,1,,
22:B0:85:8A:1A:54,2,4,1,,
C4:EA:1D:63:8C:F2,2,4,1,,
62:22:32:1B:C7:07,2,4,1,,
D0:21:F9:93:38:5F,2,4,1,,
80:30:49:22:5E:F3,2,4,1,,
A0:B5:3C:C5:11:96,2,4,1,,
AC:44:F2:41:6F:5B,2,4,1,,
20:C3:8F:ED:16:C9,2,4,1,,
00:11:32:FF:43:E5,2,4,1,,
00:24:9B:6E:33:D0,2,4,1,,
8C:C6:81:57:CC:FE,2,4,1,,
D0:DB:B7:95:76:ED,2,4,2,,
AC:D0:74:87:4C:EF,2,4,1,,
02:4B:54:59:0C:5E,2,4,1,,
7E:9D:64:8E:11:A5,2,4,1,,
76:A7:7E:A9:97:14,2,4,1,,
CA:A7:CF:F5:B7:FA,2,4,1,,
1C:61:B4:36:D9:17,3,4,42,,
6A:FE:F7:A9:90:64,3,4,28,,
D8:3A:DD:01:24:17,3,4,42,115.862385,-32.00617
D8:3A:DD:01:24:17,3,4,42,115.862808,-32.006202
D8:3A:DD:01:24:17,3,4,42,115.869687,-32.007305
D8:3A:DD:01:24:17,3,4,42,115.876077,-32.012123
D8:3A:DD:01:24:17,3,4,42,115.891678,-32.012992
D8:3A:DD:01:24:17,3,4,42,115.900487,-32.012035
D8:3A:DD:01:24:17,3,4,42,115.89791,-32.006012
D8:3A:DD:01:24:17,3,4,42,115.897055,-32.006327
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
D8:3A:DD:01:24:17,3,4,42,115.895855,-32.007187
F0:23:B9:EB:40:7D,2,4,1,,
C8:99:B2:A8:28:11,2,4,1,,
E4:D5:00:00:00:00,2,4,1,,
22:1C:ED:AF:CE:9A,2,4,1,,
18:D7:00:00:00:00,2,4,1,,
1E:EE:DD:93:51:27,2,4,1,,
EC:71:DB:9A:06:4B,2,4,1,,
F8:1A:2B:09:0B:34,2,4,1,,
FA:1A:2B:09:0B:35,2,4,1,,
14:22:3B:20:72:58,2,4,1,,
16:22:3B:20:72:5C,2,4,1,,
20:1F:3B:01:9D:70,2,4,1,,
00:40:9D:8F:3E:8A,2,4,2,,
E2:76:42:FD:87:BA,2,4,1,,
58:D5:6E:DE:CE:A6,2,4,1,,
9A:79:38:C7:71:9B,2,4,1,,
D4:35:1D:EA:20:0D,2,4,1,,
BC:45:5B:9A:FB:8A,2,4,1,,
FE:86:16:F0:35:2D,2,4,1,,
88:DE:A9:6D:1E:CF,2,4,1,,
CC:15:31:F5:CF:7B,2,4,1,,
00:0E:58:C9:68:96,2,4,1,,
9C:A3:A9:71:7A:0A,2,4,1,,
58:D5:6E:DE:CE:A1,2,4,1,,
00:25:00:FF:94:73,3,4,25,,
D4:35:1D:25:5C:CC,2,4,1,,
5C:AA:FD:22:14:B6,2,4,1,,
38:A6:59:DC:1C:9C,2,4,1,,
EA:7A:2C:0A:7A:94,2,4,1,,
74:EE:2A:6A:12:3B,2,4,1,,
22:1D:F0:14:34:CE,2,4,1,,
00:09:0F:DC:27:05,2,4,1,,
5C:93:A2:BB:F3:29,2,4,1,,
9C:A3:A9:EB:63:AB,2,4,1,,
44:BB:3B:05:B8:B0,2,4,2,115.862632,-32.005027
30:95:87:13:89:0A,2,4,2,115.862555,-32.005505
BC:51:FE:33:93:C3,2,4,2,,
E6:5E:1B:B4:B4:9D,2,4,1,,
E6:5E:1B:8F:F5:84,2,4,1,,
50:02:91:10:93:0D,2,4,1,,
F0:2F:74:FD:4B:81,2,4,1,115.862532,-32.005233
02:4C:02:0E:0A:30,2,4,1,,
98:D8:63:1A:85:6E,2,4,1,,
0A:26:12:31:BC:9A,2,4,1,,
02:00:00:00:00:00,2,4,1,,
CA:45:73:34:93:14,2,4,1,,
18:F1:45:30:C5:ED,2,4,1,,
B6:09:94:63:17:24,2,4,1,115.862827,-32.004953
D4:F5:47:A0:57:F8,2,4,1,115.862632,-32.00504
00:0E:58:D2:1E:78,2,4,1,,
EC:C8:9C:D3:42:58,2,4,2,115.862455,-32.00568
EC:C8:9C:D3:42:58,2,4,2,115.862455,-32.00568
36:56:B2:D3:76:48,2,4,1,,
D4:CA:6E:EB:58:9D,2,4,2,,
6A:31:4A:B8:51:61,2,4,1,,
F4:F5:D8:18:BB:80,2,4,2,,
94:B8:6D:C2:A2:EF,2,4,2,,
24:B7:2A:0A:C2:ED,2,4,2,115.862385,-32.00617
24:B7:2A:0A:C2:ED,2,4,2,115.862808,-32.006202
BE:61:92:E3:7B:62,2,4,1,,
24:DF:A7:F3:19:91,2,4,1,115.862422,-32.006305
98:F7:D7:2A:A1:DD,2,4,1,,
00:06:C6:4C:16:29,2,4,1,,
00:0E:8E:85:70:74,2,4,1,,
82:5F:E4:F7:BB:E7,2,4,1,,
9C:3D:CF:17:E3:76,2,4,1,,
9C:76:13:19:AD:15,2,4,2,,
8E:87:62:D5:FE:AF,2,4,1,115.862648,-32.006708
DA:47:32:0D:6F:2A,2,4,1,,
BC:22:28:97:42:D8,2,4,1,,
D2:BC:3A:90:2F:49,2,4,1,,
60:22:32:B0:33:FD,2,4,1,,
24:5A:4C:D6:78:12,2,4,1,,
78:98:E8:65:C7:97,2,4,1,,
5C:AA:FD:01:B5:78,2,4,1,,
22:C8:49:7F:8E:4D,2,4,1,115.862803,-32.0062
A0:80:69:CD:75:58,2,4,1,115.862808,-32.006202
00:17:13:34:77:81,2,4,1,,
42:0D:CB:AD:52:DE,2,4,1,,
10:51:07:87:C9:F9,2,4,1,115.862808,-32.006202
00:06:78:82:EF:C0,2,4,1,,
7A:C1:D0:AB:C7:58,2,4,1,,
B0:A7:B9:85:E5:9F,2,4,1,,
70:32:17:5D:B3:03,2,4,1,,
BC:30:D9:AC:DE:02,2,4,1,,
DE:96:09:12:56:79,2,4,7,,
8A:AC:23:04:80:76,2,4,1,115.862808,-32.006203
00:1E:C0:0D:78:61,2,4,1,,
3E:62:C2:B1:9E:AF,2,4,1,,
A6:C7:62:56:75:DF,2,4,1,115.865205,-32.006347
DC:A6:32:A9:E0:07,2,4,1,,
32:89:8C:33:BA:C9,2,4,1,115.865205,-32.006347
14:85:7F:46:C8:2D,2,4,1,115.865205,-32.006347
48:E1:E9:7B:5F:F0,2,4,1,,
80:30:DC:39:2D:BB,2,4,1,,
48:E1:E9:7B:37:7B,2,4,1,,
B6:E4:37:34:39:D7,2,4,1,,
1A:09:54:4E:60:5E,2,4,1,115.865955,-32.006342
16:A2:BB:ED:ED:9A,2,4,1,115.865955,-32.006342
0E:0B:4A:27:46:A5,2,4,1,115.866008,-32.006328
7A:31:C8:EC:23:FA,2,4,1,115.866008,-32.006328
AA:08:56:FE:67:C5,2,4,1,115.866008,-32.006328
56:C6:77:5C:4E:9D,2,4,1,115.866008,-32.006328
4A:7D:54:A3:FC:AC,2,4,1,115.866473,-32.006388
7A:D2:DD:C2:04:EF,2,4,1,115.86848,-32.00638
56:F8:03:30:9B:94,2,4,1,115.86868,-32.006332
00:06:C6:4B:FE:79,2,4,5,115.869628,-32.007273
00:06:C6:4B:FE:79,2,4,5,115.876592,-32.012078
00:06:C6:4B:FE:79,2,4,5,115.893585,-32.013138
00:06:C6:4B:FE:79,2,4,5,115.900435,-32.012632
00:06:C6:4B:FE:79,2,4,5,115.896772,-32.004915
94:DB:C9:AA:49:2A,2,4,4,115.869162,-32.00649
94:DB:C9:AA:49:2A,2,4,4,115.877173,-32.012087
94:DB:C9:AA:49:2A,2,4,4,115.893585,-32.013138
94:DB:C9:AA:49:2A,2,4,4,115.90047,-32.012272
94:DB:C9:AA:49:2A,2,4,4,115.897208,-32.005452
94:DB:C9:AA:49:2A,2,4,4,115.896943,-32.0052
98:06:3C:28:37:46,2,4,1,,
AA:7F:5B:55:CF:8F,2,4,1,115.86911,-32.00632
D6:35:1D:EA:76:FC,2,4,1,115.869103,-32.006358
2A:87:BA:0D:CE:E3,2,4,1,,
EA:FD:F4:5C:15:E2,2,4,1,115.869103,-32.006358
A6:2B:1A:4F:07:FB,2,4,1,115.869103,-32.006358
A2:20:F3:CE:5D:82,2,4,1,115.869135,-32.00637
D6:35:1D:25:5D:27,2,4,1,,
5C:AA:FD:AA:6A:AF,2,4,1,,
F2:72:EA:69:55:D4,2,4,1,,
3C:8D:20:F8:54:FB,2,4,1,,
F2:75:E2:89:AD:4E,2,4,1,115.869385,-32.007145
EA:AF:ED:54:39:06,2,4,1,115.86945,-32.007187
7C:2E:BD:28:03:0C,2,4,1,115.869628,-32.007273
8C:18:D9:04:57:22,2,4,1,115.869628,-32.007273
CE:F4:11:80:02:B9,2,4,1,115.87051,-32.008037
B2:E4:D5:07:CC:C4,2,4,1,,
C8:69:CD:84:F7:D2,2,4,1,,
C4:71:54:2E:25:B3,2,4,1,115.871018,-32.008942
D8:F1:5B:97:F3:8D,2,4,1,,
20:B0:01:34:72:B2,2,4,1,,
2C:FD:B3:8C:9D:EA,2,4,1,115.871428,-32.010973
8A:3A:E5:0C:DF:E6,2,4,1,115.871428,-32.010973
E6:16:AF:2E:0C:D0,2,4,1,115.871428,-32.010973
C4:3A:35:F1:6D:0D,2,4,1,115.871615,-32.011615
1C:1B:0D:93:BF:08,2,4,1,,
CA:AB:09:A1:D0:AA,2,4,1,115.871685,-32.011625
C8:2A:DD:8F:61:13,2,4,1,115.871685,-32.011625
D2:40:17:47:5A:61,2,4,1,115.873103,-32.011805
A2:44:C1:4A:D4:30,2,4,1,115.874973,-32.012052
CE:EF:E9:BB:CD:DB,2,4,1,115.875683,-32.012108
B2:9A:0D:C2:1C:76,2,4,1,115.875683,-32.012108
6A:8E:CA:6C:E7:1F,2,4,1,115.875683,-32.012108
7E:8B:12:79:B2:2E,2,4,1,115.875683,-32.012108
9A:E1:70:E6:24:E9,2,4,1,115.876852,-32.01208
10:13:31:D2:B2:4C,2,4,1,,
A2:B9:3E:F2:E9:1E,2,4,1,115.880183,-32.011972
1E:8A:7C:73:D7:F6,2,4,1,115.880648,-32.011928
36:23:03:34:D2:32,2,4,1,,
00:02:10:B9:16:4D,2,4,1,,
D8:13:99:A0:CF:3D,2,4,1,115.881123,-32.011857
66:53:FB:4D:16:6A,2,4,1,,
DA:88:EF:57:B8:E7,2,4,1,,
A2:69:58:C8:68:C9,2,4,1,115.884312,-32.01204
86:D2:B0:33:B1:18,2,4,1,115.884447,-32.012062
DC:A6:32:FF:70:F2,2,4,1,,
06:0B:FB:F8:01:36,2,4,1,115.884842,-32.01212
CC:9C:3E:C0:1F:D7,2,4,1,,
1A:65:CD:0A:A9:22,2,4,1,,
86:FE:7F:91:2E:DB,2,4,1,115.886852,-32.012383
E2:45:2E:05:2B:FB,2,4,1,,
CE:A6:F5:40:F9:59,2,4,1,115.88698,-32.012395
DE:CB:BC:C3:48:02,2,4,1,115.888475,-32.012573
DA:95:27:38:D6:73,2,4,1,115.891832,-32.013012
02:F7:42:2B:4A:8B,2,4,1,115.892843,-32.013095
1A:87:58:88:14:50,2,4,1,115.892843,-32.013095
86:E2:F0:42:60:39,2,4,1,115.892982,-32.013105
D2:C1:AF:59:80:74,2,4,1,,
2C:30:33:E0:66:F4,2,4,1,,
44:2C:05:09:FD:E2,2,4,1,,
10:06:45:5E:43:E4,2,4,1,,
9A:E8:B3:1C:65:CA,2,4,1,115.894787,-32.013285
D2:CF:E1:66:17:3D,2,4,1,115.895068,-32.013328
2E:4D:5F:3D:C7:82,2,4,1,115.895068,-32.013328
16:DC:E3:2D:DD:3E,2,4,1,115.895068,-32.013328
EE:03:8E:B0:0C:BA,2,4,1,115.895718,-32.013423
88:0F:A2:6A:E0:E7,2,4,1,,
CE:3B:A9:D6:A1:01,2,4,1,115.896867,-32.013525
06:97:40:F0:02:B3,2,4,1,,
92:F8:54:2B:EC:8E,2,4,1,,
D6:E2:38:FA:B1:2B,2,4,1,115.899063,-32.013378
00:06:C6:4C:06:69,2,4,1,,
52:F4:AB:6D:94:BE,2,4,1,115.899063,-32.013378
9A:AF:92:D2:FB:57,2,4,1,115.899063,-32.013372
1E:FC:9E:3D:CF:BB,2,4,1,115.899063,-32.013372
C4:71:54:1E:13:27,2,4,1,115.899058,-32.01336
A4:5E:60:D7:4A:0D,2,4,1,,
F2:0C:E3:3A:6C:AA,2,4,1,,
A0:B5:3C:95:B5:D9,2,4,1,,
90:0C:C8:E0:3F:9B,2,4,1,,
6A:B5:3C:65:52:C6,2,4,1,115.89905,-32.013345
64:FD:96:A8:38:7A,2,4,1,,
46:83:CC:9C:E7:BE,2,4,1,115.899052,-32.013345
34:68:95:47:3B:CF,2,4,1,,
34:5D:9E:78:0D:BA,2,4,1,,
C8:99:B2:A7:EB:71,2,4,1,,
DA:5F:00:00:00:00,2,4,1,,
14:61:00:00:00:00,2,4,1,,
62:60:00:00:00:00,2,4,1,,
B0:B9:8A:6D:BA:FE,2,4,1,,
1A:02:8E:A1:A8:1F,2,4,1,,
9E:5E:BC:CD:CF:0A,2,4,1,115.899692,-32.013363
06:EC:BD:6C:BF:24,2,4,1,115.900023,-32.01332
12:27:F5:01:B0:48,2,4,1,115.900053,-32.0133
9E:33:D6:0E:D7:41,2,4,1,115.900053,-32.0133
2A:36:03:71:31:AA,2,4,1,,
D0:C2:4E:97:B9:E8,2,4,1,,
8E:3D:68:CC:1D:55,2,4,1,115.900053,-32.01329
08:02:8E:A1:A8:1F,2,4,1,,
44:AF:28:84:6B:15,2,4,1,,
C6:0A:5A:5E:6C:34,2,4,1,,
20:B0:01:B1:4D:12,2,4,1,,
66:5E:B5:2B:A9:28,2,4,1,,
0E:AA:87:CC:3E:DC,2,4,1,115.900157,-32.013305
EE:74:4E:04:C8:5C,2,4,1,,
D0:DB:B7:57:CA:40,2,4,1,,
26:0D:CB:8F:76:99,2,4,1,115.900423,-32.012932
AA:73:63:21:FC:EC,2,4,1,115.900423,-32.012932
72:EF:C8:A4:07:C9,2,4,1,115.900423,-32.012932
EA:E8:2A:B6:13:BE,2,4,1,115.900423,-32.012932
AE:6F:0D:5E:2C:5E,2,4,1,115.900423,-32.012932
8A:C6:E6:B1:13:74,2,4,1,,
76:19:86:10:EA:C1,2,4,1,115.900423,-32.012932
50:2C:C6:05:E4:5E,2,4,1,,
D0:DB:B7:57:CE:CE,2,4,1,,
4E:0E:82:CC:97:DB,2,4,1,115.900435,-32.012632
9C:5A:44:B9:2A:75,2,4,1,115.90048,-32.012152
54:88:0E:85:78:B2,2,4,1,,
8A:6C:5B:FB:66:83,2,4,1,115.900498,-32.011908
60:12:3C:01:1C:34,2,4,1,,
78:66:9D:33:4B:ED,2,4,1,115.900507,-32.01166
60:12:3C:01:1C:22,2,4,1,,
2C:FD:B3:8C:9D:A6,2,4,1,115.900607,-32.009915
A2:7D:35:37:1B:F5,2,4,1,115.900607,-32.009915
64:07:F6:52:1D:2A,2,4,1,,
28:87:BA:D5:6E:27,2,4,1,115.900665,-32.008747
40:2F:86:25:6A:18,2,4,1,,
B2:A9:FC:76:1D:E0,2,4,1,115.900665,-32.008747
A0:51:0B:FF:54:0B,2,4,1,,
28:87:BA:46:11:F3,2,4,1,,
7C:27:BC:49:1F:D0,2,4,1,115.900648,-32.008502
CC:8C:BF:CF:E6:12,2,4,1,,
F8:04:2E:D8:62:AF,2,4,1,115.900512,-32.008242
DA:B3:E8:5B:F5:70,2,4,1,,
3A:C4:D8:97:DC:73,2,4,1,115.900347,-32.00808
2A:52:C1:7F:24:95,2,4,1,,
3A:B8:D1:E3:CB:7B,2,4,1,115.900347,-32.00808
AE:7F:92:35:EC:3F,2,4,1,115.899672,-32.007438
A2:65:73:B5:67:3F,2,4,1,115.899622,-32.007395
2A:88:E1:2C:7A:46,2,4,1,,
2E:EF:05:AD:E4:9B,2,4,1,115.899587,-32.00735
92:A9:BC:4A:9D:D6,2,4,1,115.899587,-32.00735
BE:8B:CB:00:34:AE,2,4,1,115.899547,-32.007265
E8:68:E7:CF:85:44,2,4,1,,
42:DC:C4:78:14:5E,2,4,1,115.899393,-32.007277
A6:51:69:E5:1E:88,2,4,1,115.899393,-32.007277
4A:04:98:62:2A:1A,2,4,1,,
2C:4D:54:03:AD:A0,2,4,1,115.899217,-32.007312
D6:69:67:A9:1F:38,2,4,1,115.899217,-32.007312
F2:B2:F8:55:A4:31,2,4,1,,
2A:82:95:A0:E1:C6,2,4,1,115.899217,-32.007312
96:4D:62:D5:13:F5,2,4,1,115.899217,-32.007312
00:B6:70:91:3C:4F,2,4,1,,
00:5F:67:0F:8C:E1,2,4,1,,
32:E8:11:0B:73:91,2,4,1,115.89904,-32.00715
00:0E:8E:6C:65:CC,2,4,1,115.897208,-32.005452
78:72:5D:1B:94:61,3,4,9,,
00:06:C6:4C:2D:FD,2,4,1,,
A6:53:0E:4A:7C:20,2,4,1,,
C6:04:AA:39:06:60,2,4,1,115.89863,-32.006688
EE:AB:E7:30:D4:C5,2,4,1,,
C6:94:B9:5D:F3:40,2,4,1,,
A6:47:17:74:02:B8,2,4,1,115.898392,-32.006367
2A:D4:2C:FA:F8:79,2,4,1,115.898272,-32.006273
76:3F:43:8E:BD:77,2,4,1,115.898272,-32.006273
00:0E:8E:6D:9C:B1,2,4,1,115.897993,-32.00607
00:06:C6:51:FC:19,2,4,1,115.897993,-32.00607
02:D6:EA:23:64:19,2,4,1,115.897062,-32.006342
02:D6:EA:23:64:19,2,4,1,115.895862,-32.007233
02:D6:EA:23:64:19,2,4,1,115.895862,-32.007233
52:6A:F6:63:0E:FC,2,4,1,115.897598,-32.00578
00:06:C6:5E:77:69,2,4,1,115.89728,-32.005523
0E:40:DF:94:0D:C0,2,4,1,,
28:7F:CF:08:5D:59,2,4,2,115.8969,-32.005575
BE:59:AC:6D:F7:C1,2,4,1,115.896932,-32.005147
4C:A6:4D:68:28:80,2,4,1,115.896943,-32.0052
3E:4D:04:F8:80:55,2,4,1,115.896778,-32.004993
04:56:E5:7C:01:55,2,4,1,115.896858,-32.005067
00:0E:8E:86:70:AC,2,4,1,,
36:6D:AA:B1:FA:AB,2,4,1,,
66:E3:02:EE:B9:A9,2,4,1,,
90:2B:D2:0C:C3:24,2,4,1,,
